"Name_of_Satellite,_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator_Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_(degrees)	Perigee_(km)	Apogee_(km)	Eccentricity	Inclination_(degrees)	Period_(minutes)	Launch_Mass_(kg.)	Dry_Mass_(kg.)	Power_(watts)	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
ORBCOMM_OG2_FM-117	NR_(1/16)	USA	ORBCOMM_Inc.	Commercial	Communications		LEO	Non-Polar_Inclined	0	614	656	3.00E-03	47	97.42	172		400	2015/12/22	5+_yrs.	Boeing_Corp./Sierra_Nevada_Corp.	USA	Cape_Canaveral	Falcon_9	2015-081K	41188			prehled-druzic	http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/	http://prehled-druzic.blogspot.com/2015/12/2015-081.html																																																																																																																																																																																																																															
ORBCOMM_OG2_FM-118	NR_(1/16)	USA	ORBCOMM_Inc.	Commercial	Communications		LEO	Non-Polar_Inclined	0	615	658	3.07E-03	47	97.44	172		400	2015/12/22	5+_yrs.	Boeing_Corp./Sierra_Nevada_Corp.	USA	Cape_Canaveral	Falcon_9	2015-081E	41183			prehled-druzic	http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/	http://prehled-druzic.blogspot.com/2015/12/2015-081.html																																																																																																																																																																																																																															
ORBCOMM_OG2_FM-119	NR_(1/16)	USA	ORBCOMM_Inc.	Commercial	Communications		LEO	Non-Polar_Inclined	0	614	658	3.14E-03	47	97.43	172		400	2015/12/22	5+_yrs.	Boeing_Corp./Sierra_Nevada_Corp.	USA	Cape_Canaveral	Falcon_9	2015-081B	41180			prehled-druzic	http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/	http://prehled-druzic.blogspot.com/2015/12/2015-081.html																																																																																																																																																																																																																															
ORSES_(ORS_Enabler_Satellite)	USA	USA	US_Army	Military	Technology_Development		LEO	Non-Polar_Inclined	0	436	446	7.34E-04	40.5	94.6	5			2013/11/19		Miltec_Corporation	USA	Wallops_Island_Flight_Facility	Minotaur	2013-064G	39386			WT	https://directory.eoportal.org/web/eoportal/satellite-missions/o/ors-tech-1-2	http://prehled-druzic.blogspot.com/2015/12/2015-081.html																																																																																																																																																																																																																															
?rsted_	Denmark	Denmark	Danish_Meteorological_Institute_(DMI)	Government	Earth_Observation	Earth_Science	LEO	Elliptical	0	635	839	1.44E-02	96.5	99.5	61	50	54	1999/2/23	5_yrs.	Computer_Resources_International_(CRI)	Denmark	Vandenberg_AFB	Delta_7920	1999-008B	25635	Magnetometer_and_a_star_camera_for_measurements_of_the_geomagnetic_field.		www.satellitedebris.net_12/12	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1999.html#Orsted	http://www.control.auc.dk/projects/satellites/orsted.html	http://web.dmi.dk/fsweb/projects/oersted/newsletter/news04-01.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html			x																																																																																																																																																																																																																										
Paksat-1R_	Pakistan	Pakistan	Pakistan_Space_and_Upper_Atmosphere_Research_Commission_(SUPARCO)/PakSat_International	Government/Commercial	Communications		GEO		38	"35,786"	"35,800"	1.66E-04	0.1	1436.1	"5,120"	"2,100"		2011/8/11	15_yrs.	China_Aerospace_Science_and_Technology_Corp._(CASC)	China	Xichang_Satellite_Launch_Center	Long_March_3B	2011-042A	37779	"12_C-band,_18_Ku-band."		SC_-_ASCR	http://www.paksat.com.pk/	http://www.cgwic.com/In-OrbitDelivery/CommunicationsSatellite/Program/PakSat-1R.html		http://www.lib.cas.cz/space.40/2011/042A.HTM																																																																																																																																																																																																																													
Palapa_C2_	Indonesia	Indonesia	PT_Indosat	Commercial	Communications		GEO		112.99	"35,784"	"35,789"	5.93E-05	0.05	1436.13	"3,014"	"1,740"	"3,700"	1996/5/15	15_yrs.	Boeing_Satellite_Systems	USA	Guiana_Space_Center	Ariane_44L	1996-030A	23864	"30_C-band,_6_Ku-band;_voice_and_vision_communications_to_a_large_area_bounded_by_Iran,_Vlodivostok,_Australia,_and_New_Zealand."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx511.html	http://www.satelindo.co.id/palapa/overview.htm	http://www.boeing.com/defense-space/space/bss/factsheets/601/palapa_c/palapa_c.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://planet4589.org/space/log/geobus0902.ok.lis																																																																																																																																																																																																																												
Palapa_D1	China	Indonesia	PT_Indosat	Commercial	Communications		GEO		150.97	"35,780"	"35,792"	1.42E-04	0.07	1436.09	"4,100"		"6,000"	2009/8/31	15_yrs.	Thales_Alenia_Space	France	Xichang_Satellite_Launch_Center	Long_March_3B	2009-046A	35812	"Third_stage_of_rocket_put_it_in_a_low_transfer_orbit,_but_was_able_to_maneuver;_reduced_service_life."		JM/10_09	http://www.spacemart.com/reports/Thales_Alenia_Space_To_Build_Palapa_D_Satellite_For_Indosat_999.html	http://www.satnews.com/cgi-bin/story.cgi?number=2144986119																																																																																																																																																																																																																															
"PAN-1_(Palladium_at_Night,_P360,_USA_207)"	USA	USA	Unknown_US_agency	Military	Communications		GEO		47.5	"35,786"	"35,787"	1.19E-05	0.03	1436.12				2009/9/8		Lockheed_Martin	USA	Cape_Canaveral	Atlas_5	2009-047A	35815	Thought_to_be_a_new_generation_Militarycommunications_satellite._The_operating_agency_was_not_announced;_ppears_to_be_related_to_the_U._S._NavyÅfs_Ultra-High_Frequency_(UFO)_Follow-On_program_constellation_of_geosynchronous_communications_spacecraft_because_of_the_monitored_frequencies_emanating_from_the_spacecraft_launched_in_earth_orbit.		JM/10_09	http://www.globalsecurity.org/space/systems/pan-gapfiller.htm	http://www.thespacereview.com/article/1450/1	http://nssdc.gsfc.nasa.gov/spacewarn/spx671.html	http://www.globalsecurity.org/space/systems/pan-gapfiller.htm	http://www.nasaspaceflight.com/2014/09/ula-atlas-v-secretive-clio-mission/																																																																																																																																																																																																																												
ParkinsonSat-1	NR	USA	US_Naval_Academy	Civil	Technology_Development		LEO	Non-Polar_Inclined	0	356	700	2.49E-02	55	95.19	5			2015/5/20		US_Naval_Academy	USA	Cape_Canaveral	Atlas_5	2015-025D	40654	Data_relay_satellite_development.		JM/8_15	https://directory.eoportal.org/web/eoportal/satellite-missions/p/parkinsonsat																																																																																																																																																																																																																																
Parus-95_(Cosmos_2407)	Russia	Russia	Ministry_of_Defense	Military	Communications		LEO	Polar	0	949	"1,008"	4.01E-03	83	104.7	825			2004/7/22	2-3_yrs.	NPO-PM	Russia_	Plesetsk_Cosmodrome	Kosmos_3M	2004-028A	28380	Normally_part_of_a_six-satellite_constellation.		www.satellitedebris.net_12/12	http://www.aus-city.com/cgi-bin/ultimatebb.cgi?ubb=get_topic;f=4;t=001097;p=0	http://www.iquebec.ifrance.com/laryzidance/l'espace/	http://russianforces.org/eng/news/archive/000031.shtml		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																												
Parus-96_(Cosmos_2414)	Russia	Russia	Ministry_of_Defense	Military	Communications		LEO	Polar	0	907	968	4.17E-03	83	103.8	825			2005/1/20	2-3_yrs.	NPO-PM	Russia	Plesetsk_Cosmodrome	Kosmos_3M	2005-002A	28521	Normally_part_of_a_six-satellite_constellation.		www.satellitedebris.net_12/12	http://russianforces.org/eng/news/archive/000235.shtml	http://nssdc.gsfc.nasa.gov/spacewarn/spx615.html	http://www.spacenewsfeed.co.uk/2005/23January2005_27.html	http://www.lib.cas.cz/www/space.40/2005/002A.HTM																																																																																																																																																																																																																													
Parus-99_(Cosmos_2463)	Russia	Russia	Ministry_of_Defense	Military	Communications		LEO	Polar	0	968	"1,022"	3.67E-03	83	105	820			2010/4/27	2-3_yrs.	Information_Satellite_Systems_(formerly_NPO-PM)	Russia	Plesetsk_Cosmodrome	Kosmos_3M	2010-017A	36519	Normally_part_of_a_six-satellite_constellation.		www.satellitedebris.net_12/12	http://russianforces.org/blog/2010/04/cosmos-2463_joins_parus_conste.shtml	http://nssdc.gsfc.nasa.gov/spacewarn/spx678.html	http://www.lib.cas.cz/space.40/2010/017A.HTM																																																																																																																																																																																																																														
"PCSat_(Prototype_Communications_SATellite,_Navy-Oscar_44,_NO-44)"	USA	USA	US_Naval_Academy	Government	Communications/Technology_Development		LEO	Non-Polar_Inclined	0	789	796	4.89E-04	67	100.7	10	10	6	2001/9/30	5_yrs.	US_Naval_Academy	USA	Kodiak_Launch_Complex	Athena_1	2001-043C	26931	Built_by_midshipmen_to_learn_technology_and_operation;_will_be_part_of_Amateur_Radio_Reporting_System_(APRS);_only_operates_fully_for_a_few_weeks_a_year_(when_in_full_sun).		www.satellitedebris.net_12/12	http://nssdc.gsfc.nasa.gov/spacewarn/spx575.html	www.spaceandtech.com/digest/_flash2001/flash2001-083.shtml	US_Naval_Academy_Satellite_Lab_(email)																																																																																																																																																																																																																														
Perseus_M1	NR_(1/15)	Russia/USA	Dauria_Aerospace	Commercial	Communications	Automatic_Identification_System_(AIS)	LEO	Sun-Synchronous	0	607	625	1.29E-03	97.99	7.01	6			2014/6/19		Dauria_Aerospace/Canopus_Systems	Russia/USA	Dombarovsky_Air_Base	Dnepr	2014-033AF	40039	Carry_an_AIS_payload.		ZARYA	http://www.spaceflight101.com/dnepr-launch-updates---2014-cluster-launch.html																																																																																																																																																																																																																																
Perseus_M2	NR_(1/15)	Russia/USA	Dauria_Aerospace	Commerical	Communications	Automatic_Identification_System_(AIS)	LEO	Sun-Synchronous	0	606	624	1.29E-03	97.99	96.99	6			2014/6/19		Dauria_Aerospace/Canopus_Systems	Russia/USA	Dombarovsky_Air_Base	Dnepr	2014-033AD	40037	Carry_an_AIS_payload.		ZARYA	http://www.spaceflight101.com/dnepr-launch-updates---2014-cluster-launch.html																																																																																																																																																																																																																																
Persona-2_(Cosmos_2486)	Russia	Russia	Ministry_of_Defense	Military	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	714	733	1.34E-03	98.3	99.2	"7,000"			2013/6/7	3-5_yrs.	TsSKB_Progress	Russia	Plesetsk_Cosmodrome	Soyuz_2.1b	2013-028A	39177	"New_class_of_optical_reconnaissance_satellites._First_one,_Persona-1,_failed_soon_after_launch_in_2008."		SC_-_ASCR	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://russianforces.org/blog/2013/06/launch_of_cosmos-2486_-_person.shtml	http://www.russianspaceweb.com/persona.html	http://space50.kosmo.cz/s40/2013/I028A.HTM																																																																																																																																																																																																																													
Persona-3_(Cosmos_2506)	Russia	Russia	Ministry_of_Defense	Military	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	706	725	1.34E-03	98.5	99	"7,000"			2015/6/23	3-5_yrs.	TsSKB_Progress	Russia	Plesetsk_Cosmodrome	Soyuz_2.1b	2015-029A	40699	"New_class_of_optical_reconnaissance_satellites._First_one,_Persona-1,_failed_soon_after_launch_in_2008."		JM/8_15	http://russianforces.org/blog/2015/06/cosmos-2506_-_new_persona_reco.shtml																																																																																																																																																																																																																																
Phonesat_2.4	USA	USA	National_Aeronautics_and_Space_Administration_(NASA)	Government	Technology_Development		LEO	Non-Polar_Inclined	0	499	507	5.82E-04	40.51	94.68	1			2013/11/19		NASA/Ames_Research_Center	USA	Wallops_Island_Flight_Facility	Minotaur	2013-064B	39381	Uses_off-the-shelf_smartphone_as_computer;_two-say_S_band;_uses_smartphone_camera_to_take_photos_of_earth.		ZARYA	http://www.slashgear.com/nasa-phonesat-2-4-finally-phones-home-05307683/	http://www.southgatearc.org/news/2014/january/phonesat_2_4_ham_radio_cubesat.htm#.UxzIJoXviAo	http://www.nasa.gov/content/nasas-latest-space-technology-small-satellite-phones-home/#.UxzImIXviAo																																																																																																																																																																																																																														
Pl?iades_HR1A	France	France/Italy	"Ministry_of_Defense/Centre_National_d'Etudes_Spatiales_(CNES)_-_cooperation_with_Austria,_Belgium,_Spain,_Sweden"	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	697	699	1.41E-04	98.2	98.7	"1,000"		"1,500"	2011/12/17	5_yrs.	Astrium	France	Guiana_Space_Center	Soyuz_2/Fregat	2011-076F	38012	Optical_component_of_the_ORFEO_system_developed_in_cooperation_with_Italy_--_Very_high_resolution_panchromatic_and_multispectral_Earth_observation_satellite.		www.satellitedebris.net_12/12	http://smsc.cnes.fr/PLEIADES/GP_mission.htm	http://www.lib.cas.cz/space.40/2011/I076F.HTM																																																																																																																																																																																																																															
Pl?iades_HR1B	France	France	"Ministry_of_Defense/Centre_National_d'Etudes_Spatiales_(CNES)_-_cooperation_with_Austria,_Belgium,_Spain,_Sweden"	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	678	691	9.21E-04	98.5	98.45	970			2012/12/2	5_yrs.	Astrium	France	Guiana_Space_Center	Soyuz_STA/Fregat	2012-068A	39019	Both_government_and_military.		SC_-_ASCR	http://space50.kosmo.cz/s40/2012/I068A.HTM	http://www.satimagingcorp.com/satellite-sensors/pleiades-1b.html	https://directory.eoportal.org/web/eoportal/satellite-missions/p/pleiades																																																																																																																																																																																																																														
PolyITAN-1	NR_(1/15)	Ukraine	National_Technical_University	Civil	Technology_Development		LEO	Sun-Synchronous	0	606	626	1.43E-03	97.99	97.03	1			2014/6/19		National_Technical_University	Ukraine	Dombarovsky_Air_Base	Dnepr	2014-033AJ	40042	Perform_test_and_demonstration_objectives_in_space.		ZARYA	http://www.spaceflight101.com/dnepr-launch-updates---2014-cluster-launch.html																																																																																																																																																																																																																																
Popsat-HIP	NR_(1/15)	Singapore	Microspace_Rapid_Pte_Ltd.	Commercial	Technology_Development		LEO	Sun-Synchronous	0	604	623	1.36E-03	97.99	96.97	3			2014/6/19		Microspace_Rapid_Pte_Ltd.	Singapore	Dombarovsky_Air_Base	Dnepr	2014-033U	40028	Technology_development_of_optical_payload_and_propulsion_system.		ZARYA	http://www.micro-space.org/classic/popsat.html	http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=219	http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=219																																																																																																																																																																																																																														
"Prism_(Pico-satellite_for_Remote-sensing_and_Innovative_Space_Missions,_Hitomi)"	Japan	Japan	University_of_Tokyo	Civil	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	600	627	1.93E-03	98.2	97	5			2009/1/23		University_of_Tokyo	Japan	Tanegashima_Space_Center	H2A	2009-002B	33493	Expandable_refracting_telescope;_technology_demonstration.		www.satellitedebris.net_12/12	http://nssdc.gsfc.nasa.gov/spacewarn.spx663.html																																																																																																																																																																																																																																
Proba_1_(Project_for_On-Board_Autonomy)	ESA	ESA	European_Space_Agency_(ESA)	Government	Technology_Demonstration		LEO	Sun-Synchronous	0	553	676	8.81E-03	97.9	96.98	100		100	2001/10/22	2_yrs.	Verhaert_Design_and_Development_NV_(leading_a_European_consortium)	Belgium	Satish_Dhawan_Space_Center	PSLV_C3	2001-049B	26958	"First_a_technology_demonstration,_then_extended_for_one_year_for_remote_sensing;_looks_like_a_washing_machine."		JMSatcat304	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html	http://www.esa.int/SPECIALS/Proba_web_site/ESAQ9KTHN6D_0.html																																																																																																																																																																																																																														
Proba_2_(Project_for_On-Board_Autonomy)	ESA	ESA	European_Space_Agency_(ESA)	Government	Technology_Demonstration		LEO	Sun-Synchronous	0	708	728	1.41E-03	98.3	99.2	130		86	2009/11/2	2_yrs.	Verhaert_Design_and_Development_NV_(leading_a_European_consortium)	Belgium	Plesetsk_Cosmodrome	Breeze_KM	2009-059B	36037	Technology_demonstration_of_17_advanced_satellite_technologies;_will_perform_4_experiments.		www.satellitedebris.net_12/12	http://www.esa.int/esaMI/Proba/index.html		http://www.lib.cas.cz/space.40/2009/059B.HTM																																																																																																																																																																																																																														
Proba_V_(Project_for_On-Board_Autonomy)	ESA	ESA	European_Space_Agency_(ESA)	Government	Earth_Observation	Earth_Science	LEO	Sun-Synchronous	0	813	820	4.87E-04	98.73	101.21	140			2013/5/7	2.5_yrs.	QinetiQ_Space_Belgium	Belgium	Guiana_Space_Center	Vega	2013-021A	39159	Map_land_cover_and_vegetation_growth.		ZARYA	http://www.esa.int/Our_Activities/Technology/Proba_Missions/About_Proba-V	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	https://directory.eoportal.org/web/eoportal/satellite-missions/p/proba-v																																																																																																																																																																																																																														
Prometheus_1A	USA	USA	Los_Alamos_National_Laboratory	Military	Technology_Development		LEO	Non-Polar_Inclined	0	432	444	8.81E-04	40.51	94.68				2013/11/19		Los_Alamos_National_Laboratory	USA	Wallops_Island_Flight_Facility	Minotaur_1	2013-064AC	39406	"1.5U_Cubesat_from_the_Los_Alamos_National_Laboratory,_payload_unspecified_but_assessing_the_operational_efffectiveness_of_a_constellation_of_Cubesats_for_communications_by_United_States_Special_Operations_Command_(SOCOM)."		WT	http://www.orbital.com/NewsInfo/MissionUpdates/MinotaurI_ORS-3/	http://www.spaceflightinsider.com/space-organizations/orbital-sciences-corporation-space-organizations/ors-3-and-minotaur-1-launch-tiny-cubesats-full-of-big-promise/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																														
Prometheus_4A	USA	USA	Los_Alamos_National_Laboratory	Military	Technology_Development		LEO	Non-Polar_Inclined	0	430	444	1.03E-03	40.51	94.68				2013/11/19		Los_Alamos_National_Laboratory	USA	Wallops_Island_Flight_Facility	Minotaur_1	2013-064V	39399			WT																																																																																																																																																																																																																																	
Prometheus_4B	USA	USA	Los_Alamos_National_Laboratory	Military	Technology_Development		LEO	Non-Polar_Inclined	0	430	444	1.03E-03	40.51	94.68				2013/11/19		Los_Alamos_National_Laboratory	USA	Wallops_Island_Flight_Facility	Minotaur_1	2013-064X	39401			WT																																																																																																																																																																																																																																	
PropCube-1_(PropCube_Merryweather)	NR_(12/15)	USA	Naval_Post-Graduate_School	Military	Space_Science		LEO	Non-Polar_Inclined	0	494	800	2.18E-02	64.78	97.66	1			2015/10/8		Tyvak_Nano-Satellite_Systems	USA	Cape_Canaveral	Atlas_5	2015-058N	40976	Dual_frequency_ionospheric_calibration_measurements.		JM/12_15	http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/	http://planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
PropCube-3_(PropCube_Flora)	NR_(12/15)	USA	Naval_Post-Graduate_School	Military	Space_Science		LEO	Non-Polar_Inclined	0	493	800	2.19E-02	64.78	97.65	1			2015/10/8		Tyvak_Nano-Satellite_Systems	USA	Cape_Canaveral	Atlas_5	2015-058K	40973	Dual_frequency_ionospheric_calibration_measurements.		JM/12_15	http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/	http://planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
PUCPSat-1	NR	Peru	Institute_for_Radio_Astronomy_at_Pontificia_Universidad_Cat?lica_del_Per?_(PUCP)	Civil	Technology_Development		LEO	Sun-Synchronous	0	589	640	3.65E-03	97.8	96.9	1			2013/11/21		Institute_for_Radio_Astronomy_at_Pontificia_Universidad_Cat?lica_del_Per?_(PUCP)	Peru	Dombarovsky_Air_Base	Dnepr	2013-066AC	39442	Carries_equipment_to_measure_temperature.		ZARYA	http://inras.pucp.edu.pe/pucpsat1/																																																																																																																																																																																																																																
Pujiang-1	NR_(12/15)	China	Shanghai_Academy_of_Space_Technology_(SAST)	Government	Technology_Development		LEO	Sun-Synchronous	0	468	486	1.31E-03	97.31	94.14				2015/9/24		Shanghai_Academy_of_Space_Flight_Technology	China	Jiuquan_Satellite_Launch_Center	Long_March_11	2015-051A	40925	Satellite_to_help_China_plan_smart_cities;_first_satellite_launched_using_3D-printed_parts.		JM/12_15	http://www.planet4589.org/space/log/satcat.txt	http://inside3dprinting.com/first-chinese-satellite-with-3d-printed-parts-is-launched/																																																																																																																																																																																																																															
QB50P1?(EO_79)	Belgium	Belgium	von_Karman_Institute	Civil	Space_Science		LEO	Sun-Synchronous	0	605	621	1.15E-03	97.98	96.96	2			2014/6/19		Innovative_Solutions_in_Space_(ISIS)	Netherlands	Dombarovsky_Air_Base	Dnepr	2014-033R	40025	The_QB50_mission_will_demonstrate_the_possibility_of_launching_a_network_of_50_CubeSats_built_by_Universities_Teams_all_over_the_world_as_a_primary_payload_on_a_low-cost_launch_vehicle_to_perform_first-class_science_in_the_largely_unexplored_lower_thermosphere.		ZARYA	https://www.qb50.eu/index.php/community																																																																																																																																																																																																																																
QB50P2_(EO_80)	Belgium	Belgium	von_Karman_Institute	Civil	Space_Science		LEO	Sun-Synchronous	0	607	622	1.07E-03	97.98	96.98	2			2014/6/19		Innovative_Solutions_in_Space_(ISIS)	Netherlands	Dombarovsky_Air_Base	Dnepr	2014-033Y	40032	The_QB50_mission_will_demonstrate_the_possibility_of_launching_a_network_of_50_CubeSats_built_by_Universities_Teams_all_over_the_world_as_a_primary_payload_on_a_low-cost_launch_vehicle_to_perform_first-class_science_in_the_largely_unexplored_lower_thermos		ZARYA	https://www.qb50.eu/index.php/community																																																																																																																																																																																																																																
Qsat-EOS_(KYUshu_SATellite_-_Earth_Observation_System)	NR_(1/15)	Japan	Kyushu_University	Civil	Earth_Observation	Earth_Science	LEO	Sun-Synchronous	0	506	553	3.41E-03	97.47	95.23	49			2014/11/6		Kyushu_University	Japan	Dombarovsky_Air_Base	Dnepr	2014-070D	40301	"Range_of_sensors_for_disaster_monitoring,_observing_magnetic_field,_detection_of_space_micro-debris,_water_vapor."		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	https://directory.eoportal.org/web/eoportal/satellite-missions/h/hodoyoshi-1																																																																																																																																																																																																																															
QuetzSat-1	United_Kingdom	USA	SES_World_Skies_(SES_[Soci?t?_Europ?enne_des_Satellites_(SES)])_--_total_capacity_leased_to_subsidiary_of_EchoStar_Corp._	Commercial	Communications		GEO			"35,774"	"35,798"	2.85E-04	0.02	1436.09	"5,514"			2011/9/29	15+_yrs.	Space_Systems/Loral	USA	Baikonur_Cosmodrome	Proton_M	2011-054A	37826	"High-power_communications_satellite;_coverage_of_Mexico,_North_America,_and_Central_America;_fully_contracted_to_a_subsidiary_of_EchoStar_Corp.;_will_be_used_in_part_by_Dish_Mexico_for_Direct-To-Home_(DTH)_services_in_Mexico."		JM/1_12	http://www.businesswire.com/news/home/20111114005821/en/SES%E2%80%99-QuetzSat-1-Satellite-Operational	http://www.lib.cas.cz/space.40//2011/054A.HTM	http://www.ssloral.com/html/satexp/quetzsat1.html																																																																																																																																																																																																																														
"QZS-1_(Quazi-Zenith_Satellite_System,_Michibiki)"	Japan	Japan	Japan_Aerospace_Exploration_Agency_(JAXA)	Government	Navigation/Regional_Positioning		GEO		0	"32,618"	"38,950"	7.51E-02	40	1436	"4,000"			2010/9/11		Japan_Aerospace_Exploration_Agency_(JAXA)	Japan	Tanegashima_Space_Center	H-2A	2010-045A	37158	First_in_three-satellite_constellation_for_navigation.		SC_-_ASCR	http://www.jaxa.jp/projects/sat/qzss/index_e.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/045A.HTM&act=print	http://www.planet4589.org/space/jsr/jsr.html																																																																																																																																																																																																																														
Radarsat-2_	Canada	Canada	Radarsat_International	Commercial	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	791	793	1.40E-04	98.6	100.7	"2,924"			2007/12/14	7_yrs.	"MacDonald,_Dettwiler/Thales_Alenia_Spazio"	Canada/Italy	Baikonur_Cosmodrome	Soyuz	2007-061A	32382	Use_of_radar_sensors_to_provide_remote_sensing_through_all_weather_and_darkness.		www.satellitedebris.net_12/12	http://www.lib.cas.cz/space.40/2007/061A.HTM	http://www.radarsat2.info/about/index.asp		http://directory.eoportal.org/pres_RADARSAT1.html																																																																																																																																																																																																																													
"Radio-ROSTO_(RS-15,_Radio_Sputnik_15,_Russian_Defence,_Sports_and_Technical_Organization_-_ROSTO)"	Russia	Russia	RS3A_Control_Station	Civil	Communications	Amateur_Radio	MEO	Non-Polar_Inclined	0	"1,885"	"2,165"	1.67E-02	64.59	127.45				1994/12/26		Nilakt_Posto_and_radio_amateurs	Russia	Baikonur_Cosmodrome	Rokot	1994-085A	23439	"Amateur_radio,_designed_by_group_of_radio_amateurs_from_the_town_of_Kaluga."		JMSatcat1104	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1994.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx495.html																																																																																																																																																																																																																															
"Raduga_1-8_(Raduga_1-M1,_Cosmos_2450)"	Russia	Russia	Ministry_of_Defense	Military	Communications		GEO		89.84	"35,612"	"35,949"	4.00E-03	1.44	1435.79	"2,400"			2009/2/28	5_yrs.	Applied_Mechanics_(NPO)	Russia	Baikonur_Cosmodrome	Proton_K	2009-010A	34264	Militarycommunication.		SC_-_ASCR_2/09	http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html	http://russianforces.org/blog/2009/02/new_raduga_communication_relay.shtml																																																																																																																																																																																																																															
Raduga_1-M2_(Raduga_1-9)	Russia	Russia	Ministry_of_Defense	Military	Communications		GEO		70	"35,784"	"35,788"	4.74E-05	0.01	1436.06	"2,500"			2010/1/28	5_yrs.	Applied_Mechanics_(NPO)	Russia	Baikonur_Cosmodrome	Proton_M	2010-002A	36358	Militarycommunication.		SC_-_ASCR_4/10	http://russianforces.org/blog/2010/01/new_raduga-class_communication.shtml	http://nssdc.gsfc.nasa/gov/spacewarn/spx675.html																																																																																																																																																																																																																															
Raduga_1-M3_	Russia	Russia	Ministry_of_Defense	Military	Communications		GEO			"35,777"	"35,797"	2.37E-04	0.1	1436.13	"2,400"			2013/11/11	5_yrs.	OAO_Resetneva	Russia	Baikonur_Cosmodrome	Proton_M	2013-062A	39375	Militarycommunication.		SC_-_ASCR_12/13	http://space50.kosmo.cz/s40/2013/I062A.HTM	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
"Rapid_Pathfinder_Program_(NROL-66,_USA_225)"	USA	USA	National_Reconnaissance_Office_(NRO)	Military	Technology_Development		LEO	Polar	0	"1,199"	"1,202"	1.98E-04	90	109.42	350			2011/2/6		National_Reconnaissance_Laboratory	USA	Vandenberg_AFB	Minotaur_4	2011-006A	37364			ZARYA	http://www.spaceflightnow.com/minotaur/nrol66/index.html	http://www.spaceref.com/news/viewsr.rss.spacewire.html?pid=36232	http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080																																																																																																																																																																																																																														
RapidEye-1_(RapidEye-C)	Germany	Germany	RapidEye_AG	Commercial	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	613	646	2.36E-03	97.9	97.3	175	150		2008/8/29	7_yrs.	"Surrey_Satellite_Technology,_Ltd."	United_Kingdom	Baikonur_Cosmodrome	Dnepr	2008-040C	33314			www.satellitedebris.net_12/12																																																																																																																																																																																																																																	
